label,text
a feeling that is oriented toward some real or supposed grievance,"Last night Mr Smith said : ` We are mad with this programme , and especially with Barth ."
a feeling that is oriented toward some real or supposed grievance,"When the king saw him he fell into a passion, and ordered him to be cast into the deepest dungeon."
a feeling that is oriented toward some real or supposed grievance,"@RadiateZen That's true, it does go both ways. But I've been on the receiving end of a vegans wrath! Lol! I personally wouldn't condemn"
a feeling that is oriented toward some real or supposed grievance,"Nurse practitioner: 'you look pretty bad. No offense of course.'  \n\nThank you, that really added that spark of positivity I needed today."
a feeling that is oriented toward some real or supposed grievance,@Huntley22 haha fucking hell i know ay. shit son he's just making trouble. we could take him.
a feeling that is oriented toward some real or supposed grievance,Me: *sees incense burner* is this for drugs?
a feeling that is oriented toward some real or supposed grievance,why does twitter hate me i cant put no photos on my page
a feeling that is oriented toward some real or supposed grievance,@velvetella Hey! Polka dots or black dress. Both very glam. Mobile twitter's a bit crap at the mo.
a feeling that is oriented toward some real or supposed grievance,I was very angry at my father when he didn't give me as much money as my brother to use for studying. Once again my brother was better off then me.
a feeling that is oriented toward some real or supposed grievance,Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme #snap #nudes #tits #snapchat
a feeling that is oriented toward some real or supposed grievance,Never really had the experience just yet - N/A.
a feeling that is oriented toward some real or supposed grievance,"When my father made my mother go through really terrible situations, I felt furious, impotent, nervous, upset, ........"
a feeling that is oriented toward some real or supposed grievance,"I felt anger when at the end of a telephone call, a good friend told me that she would go to travel next year with another good friend. We couldn't talk this out."
a feeling that is oriented toward some real or supposed grievance,@ coming to work w/ a rag on your head.
a feeling that is oriented toward some real or supposed grievance,@KimLy resent
a feeling that is oriented toward some real or supposed grievance,She stopped as she saw the look of annoyance on his face .
a feeling that is oriented toward some real or supposed grievance,why bother @ing at celebs? eh? cause it's almost like talking to them
a feeling that is oriented toward some real or supposed grievance,"There they lay with their anger, holding their heads on one side and blinking the eye that was turned upwards."
a feeling that is oriented toward some real or supposed grievance,My mother in law slept in my bed.
a feeling that is oriented toward some real or supposed grievance,One minister was miffed yesterday when he found his seat occupied by a journalist talking to a fellow cabinet member before the meeting began .
a feeling that is oriented toward some real or supposed grievance,When my chief accused me of an error that I hadn't made.
a feeling that is oriented toward some real or supposed grievance,My bicycle was demolished.
a feeling that is oriented toward some real or supposed grievance,"Now it was the Young King who drew back and , doubtless to their father 's immense exasperation , refused to accept Richard 's homage ."
a feeling that is oriented toward some real or supposed grievance,The time when someone let the air out of the tyres of my cycle.
a feeling that is oriented toward some real or supposed grievance,"Then the old King said: ""Be easy, he shall be punished,"" and he at once flew with the Queen to the bear""s cave, and called in: ""Old Growler, why have you insulted my children?"
a feeling that is oriented toward some real or supposed grievance,No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE
a feeling that is oriented toward some real or supposed grievance,@jordaaaannnn Damn i wanna see the rest!! i only saw like 30 minutes
a feeling that is oriented toward some real or supposed grievance,Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!
a feeling that is oriented toward some real or supposed grievance,Changed my clothes at work and had my pre-workout..  In route to the gym and there is traffic all over - pre workout kicking in.. #rage
a feeling that is oriented toward some real or supposed grievance,cleaning and packing. Moving house is shit. It's going to be a long weekend....
a feeling that is oriented toward some real or supposed grievance,"Thora is a strong supporter of Help The Aged , and highly indignant that older people are often treated differently the moment they become pensioners ."
a feeling that is oriented toward some real or supposed grievance,"@chezpim they are terrible little beast but if the garden is small you can simply collect them, or you can buy poisonous food pellets"
a feeling that is oriented toward some real or supposed grievance,@BigCatJared   What did I do to you!  sheesh
a feeling that is oriented toward some real or supposed grievance,"@EricMM76 What's sad is that I actually had to google that term. That sucks, tho."
a feeling that is oriented toward some real or supposed grievance,i may cry damn this weather got my ass burnt (nt literally jus my shins arms n chest) legs hurt lyk a biatch  slightly enjoy it tho ha
a feeling that is oriented toward some real or supposed grievance,"@SwiftShimada SPARKLES, proud little huff. Still posing mind you."
a feeling that is oriented toward some real or supposed grievance,His whiskers bristled and his coat collar stood on end with rage.
a feeling that is oriented toward some real or supposed grievance,After having quarelled with a relative of mine about politics.
a feeling that is oriented toward some real or supposed grievance,When I was teased by my friend for not scoring good marks in the exams.
a feeling that is oriented toward some real or supposed grievance,"OMG, Tony Hawk's motion on the nintendo DS sucks ass!"
a feeling that is oriented toward some real or supposed grievance,"Boys are stupid, throw rocks at them"
a feeling that is oriented toward some real or supposed grievance,When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms
a feeling that is oriented toward some real or supposed grievance,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
a feeling that is oriented toward some real or supposed grievance,Now that I have my ex's number now its time to prank him. #revenge #prank #whatprankIshoulddo seriously what prank I should I do
a feeling that is oriented toward some real or supposed grievance,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡
a feeling that is oriented toward some real or supposed grievance,Thurston offers Gallen a ‘peace’ of his mind: NORTH Queensland playmaker Johnathon Thurston insists he holds no grudge against Paul G...
a feeling that is oriented toward some real or supposed grievance,@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned
a feeling that is oriented toward some real or supposed grievance,hut myself in the face with a hammer earlier by accident  obviously it hurts.
a feeling that is oriented toward some real or supposed grievance,"A friend got angry and drove \like a lunatic\"" with me and others á|in his car. I was angry about his dangerous driving."""
